lens_id,doc_key,residence,extracted_name,extracted_address,nimi,id
063-121-700-056-854,US_10695806_B2_20200630,CN,YUANCHU TECH BEIJING CO LTD,,YUANCHU TECH BEIJING CO LTD,
063-350-772-837-026,CN_114455891_A_20220510,,JIANGSU CHINESE CONCRETE NEW MATERIAL SCIENCE AND TECH LIMITED COMPANY,,JIANGSU CHINESE CONCRETE NEW MATERIAL SCIENCE AND TECH LIMITED COMPANY,
063-938-793-500-374,US_20180244585_A1_20180830,US,WORCESTER POLYTECH INST,,WORCESTER POLYTECH INST,
064-190-684-270-775,CN_217378950_U_20220906,,SHENZHEN HONGLIJIAN CONCRETE CO LTD,,SHENZHEN HONGLIJIAN CONCRETE CO LTD,
064-229-500-340-640,CN_207460948_U_20180608,,SHANXI YEYI GARDEN GREEN ENG CO LTD,,SHANXI YEYI GARDEN GREEN ENG CO LTD,
064-518-645-413-530,CN_211173293_U_20200804,,SHANGHAI LANGTIAN ENVIRONMENTAL TECH CO LTD,,SHANGHAI LANGTIAN ENVIRONMENTAL TECH CO LTD,
065-211-188-639-103,CN_207245192_U_20180417,,UNIV DALIAN TECH,,UNIV DALIAN TECH,
065-477-618-519-135,US_20210276918_A1_20210909,ES,UNIV MURCIA,,UNIV MURCIA,
067-296-652-454-363,CN_108439833_A_20180824,,JIANGSU JINHAINING NOVEL BUILDING MATERIAL TECH CO LTD,,JIANGSU JINHAINING NOVEL BUILDING MATERIAL TECH CO LTD,
067-306-142-271-328,CN_115504751_A_20221223,,CR CHEMICAL MATERIALS TECH INC,,CR CHEMICAL MATERIALS TECH INC,
068-084-116-159-725,CN_207920063_U_20180928,,CHANGSHA ZICHEN TECH DEVELOPMENT CO LTD,,CHANGSHA ZICHEN TECH DEVELOPMENT CO LTD,
